Subject Area	Subcategory	Scholarly Output	Scholarly Output (growth %)	Citations	Authors	Authors (growth %)	Citations per Publication	Field-weighted Citation Impact	Year
Medicine	-	118	-100	20	240	0	0.2	1.24	2026
Medicine	General Medicine	7	-100	0	17	0	0	0	2026
Medicine	Medicine (miscellaneous)	3	-100	0	18	0	0	0	2026
Medicine	Anatomy	1	-100	0	1	0	0	0	2026
Medicine	Anesthesiology and Pain Medicine	3	-100	0	3	0	0	0	2026
Medicine	Biochemistry (medical)	1	-100	2	3	0	2	12.17	2026
Medicine	Cardiology and Cardiovascular Medicine	10	-100	5	15	0	0.5	2.74	2026
Medicine	Critical Care and Intensive Care Medicine	1	-100	0	1	0	0	0	2026
Medicine	Dermatology	7	-100	2	8	0	0.3	1.89	2026
Medicine	Endocrinology, Diabetes and Metabolism	7	-100	0	18	0	0	0	2026
Medicine	Epidemiology	1	-100	0	1	0	0	0	2026
Medicine	Health Informatics	1	-100	0	1	0	0	0	2026
Medicine	Health Policy	2	-100	0	6	0	0	0	2026
Medicine	Hematology	2	-100	0	3	0	0	0	2026
Medicine	Hepatology	1	-100	0	1	0	0	0	2026
Medicine	Immunology and Allergy	2	-100	0	2	0	0	0	2026
Medicine	Internal Medicine	2	-100	0	8	0	0	0	2026
Medicine	Infectious Diseases	14	-100	0	44	0	0	0	2026
Medicine	Microbiology (medical)	9	-100	1	28	0	0.1	1.57	2026
Medicine	Nephrology	6	-100	1	8	0	0.2	1.56	2026
Medicine	Neurology (clinical)	21	-100	4	16	0	0.2	1.28	2026
Medicine	Obstetrics and Gynecology	1	-100	0	1	0	0	0	2026
Medicine	Oncology	13	-100	3	29	0	0.2	1.75	2026
Medicine	Orthopedics and Sports Medicine	2	-100	0	7	0	0	0	2026
Medicine	Otorhinolaryngology	1	-100	0	4	0	0	0	2026
Medicine	Pathology and Forensic Medicine	2	-100	0	13	0	0	0	2026
Medicine	Pediatrics, Perinatology and Child Health	7	-100	2	21	0	0.3	3.12	2026
Medicine	Pharmacology (medical)	9	-100	3	28	0	0.3	2.57	2026
Medicine	Physiology (medical)	3	-100	0	8	0	0	0	2026
Medicine	Psychiatry and Mental Health	6	-100	1	10	0	0.2	1.2	2026
Medicine	Public Health, Environmental and Occupational Health	9	-100	0	27	0	0	0	2026
Medicine	Pulmonary and Respiratory Medicine	1	-100	0	1	0	0	0	2026
Medicine	Radiology, Nuclear Medicine and Imaging	9	-100	2	19	0	0.2	1.55	2026
Medicine	Surgery	16	-100	2	31	0	0.1	0.49	2026
Medicine	Urology	1	-100	0	2	0	0	0	2026
Agricultural and Biological Sciences	-	72	-100	5	164	0	0.1	0.8	2026
Agricultural and Biological Sciences	General Agricultural and Biological Sciences	1	-100	0	1	0	0	0	2026
Agricultural and Biological Sciences	Agricultural and Biological Sciences (miscellaneous)	1	-100	0	1	0	0	0	2026
Agricultural and Biological Sciences	Agronomy and Crop Science	4	-100	0	11	0	0	0	2026
Agricultural and Biological Sciences	Animal Science and Zoology	10	-100	2	36	0	0.2	2.65	2026
Agricultural and Biological Sciences	Aquatic Science	20	-100	1	44	0	0.1	0.41	2026
Agricultural and Biological Sciences	Ecology, Evolution, Behavior and Systematics	17	-100	1	40	0	0.1	0.83	2026
Agricultural and Biological Sciences	Food Science	16	-100	1	42	0	0.1	0.57	2026
Agricultural and Biological Sciences	Forestry	4	-100	0	6	0	0	0	2026
Agricultural and Biological Sciences	Horticulture	1	-100	0	1	0	0	0	2026
Agricultural and Biological Sciences	Insect Science	1	-100	0	4	0	0	0	2026
Agricultural and Biological Sciences	Plant Science	9	-100	1	19	0	0.1	1.57	2026
Agricultural and Biological Sciences	Soil Science	5	-100	0	7	0	0	0	2026
Environmental Science	-	57	-100	8	115	0	0.1	0.73	2026
Environmental Science	General Environmental Science	8	-100	0	16	0	0	0	2026
Environmental Science	Environmental Science (miscellaneous)	5	-100	0	12	0	0	0	2026
Environmental Science	Ecological Modeling	3	-100	2	9	0	0.7	2.26	2026
Environmental Science	Ecology	3	-100	0	7	0	0	0	2026
Environmental Science	Environmental Chemistry	11	-100	5	25	0	0.5	2.63	2026
Environmental Science	Environmental Engineering	7	-100	2	16	0	0.3	0.97	2026
Environmental Science	Global and Planetary Change	1	-100	0	1	0	0	0	2026
Environmental Science	Health, Toxicology and Mutagenesis	6	-100	1	11	0	0.2	1.67	2026
Environmental Science	Management, Monitoring, Policy and Law	10	-100	0	25	0	0	0	2026
Environmental Science	Nature and Landscape Conservation	4	-100	0	10	0	0	0	2026
Environmental Science	Pollution	20	-100	4	42	0	0.2	1.25	2026
Environmental Science	Waste Management and Disposal	6	-100	0	22	0	0	0	2026
Environmental Science	Water Science and Technology	11	-100	4	23	0	0.4	1.04	2026
Biochemistry, Genetics and Molecular Biology	-	52	-100	7	158	0	0.1	1.03	2026
Biochemistry, Genetics and Molecular Biology	General Biochemistry,Genetics and Molecular Biology	2	-100	0	4	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Biochemistry	20	-100	3	57	0	0.2	0.87	2026
Biochemistry, Genetics and Molecular Biology	Biophysics	2	-100	1	7	0	0.5	4.22	2026
Biochemistry, Genetics and Molecular Biology	Biotechnology	4	-100	0	18	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Cancer Research	9	-100	2	25	0	0.2	1.58	2026
Biochemistry, Genetics and Molecular Biology	Cell Biology	4	-100	0	12	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Clinical Biochemistry	5	-100	0	11	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Developmental Biology	2	-100	0	7	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Endocrinology	4	-100	1	25	0	0.3	3.38	2026
Biochemistry, Genetics and Molecular Biology	Genetics	5	-100	0	9	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Molecular Biology	16	-100	0	54	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Molecular Medicine	5	-100	0	21	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Physiology	2	-100	0	3	0	0	0	2026
Biochemistry, Genetics and Molecular Biology	Structural Biology	1	-100	0	1	0	0	0	2026
Chemistry	-	51	-100	6	125	0	0.1	0.5	2026
