"Subject.Area","Subcategory","Scholarly.Output","Scholarly.Output..growth...","Citations","Authors","Authors..growth...","Citations.per.Publication","Field.weighted.Citation.Impact","Year"
"Medicine","-",118,-100,20,240,0,0.2,1.24,2026
"Agricultural and Biological Sciences","-",72,-100,5,164,0,0.1,0.8,2026
"Environmental Science","-",57,-100,8,115,0,0.1,0.73,2026
"Biochemistry, Genetics and Molecular Biology","-",52,-100,7,158,0,0.1,1.03,2026
"Chemistry","-",51,-100,6,125,0,0.1,0.5,2026
"Physics and Astronomy","-",51,-100,4,105,0,0.1,0.51,2026
"Engineering","-",49,-100,3,126,0,0.1,0.21,2026
"Computer Science","-",47,-100,1,75,0,0,0.12,2026
"Mathematics","-",46,-100,0,91,0,0,0,2026
"Materials Science","-",39,-100,4,95,0,0.1,0.43,2026
"Earth and Planetary Sciences","-",37,-100,1,67,0,0,0.22,2026
"Social Sciences","-",37,-100,15,63,0,0.4,1.49,2026
"Chemical Engineering","-",30,-100,9,76,0,0.3,1.23,2026
"Economics, Econometrics and Finance","-",22,-100,5,32,0,0.2,0.69,2026
"Dentistry","-",21,-100,7,57,0,0.3,2.63,2026
"Business, Management and Accounting","-",19,-100,1,27,0,0.1,0.36,2026
"Arts and Humanities","-",17,-100,1,15,0,0.1,1.45,2026
"Nursing","-",17,-100,1,52,0,0.1,0.53,2026
"Neuroscience","-",16,-100,5,29,0,0.3,2,2026
"Pharmacology, Toxicology and Pharmaceutics","-",16,-100,0,50,0,0,0,2026
"Immunology and Microbiology","-",14,-100,0,34,0,0,0,2026
"Veterinary","-",14,-100,2,50,0,0.1,1.89,2026
"Energy","-",13,-100,0,31,0,0,0,2026
"Decision Sciences","-",10,-100,0,28,0,0,0,2026
"Multidisciplinary","-",8,-100,0,16,0,0,0,2026
"Psychology","-",7,-100,0,20,0,0,0,2026
"Health Professions","-",2,-100,0,2,0,0,0,2026
"Medicine","-",569,-100,565,916,0,1,0.76,2025
"Social Sciences","-",340,-100,259,461,0,0.8,0.57,2025
"Engineering","-",339,-100,401,543,0,1.2,0.79,2025
"Agricultural and Biological Sciences","-",317,-100,425,575,0,1.3,0.8,2025
"Computer Science","-",309,-100,241,455,0,0.8,0.68,2025
"Physics and Astronomy","-",262,-100,406,320,0,1.5,0.72,2025
"Chemistry","-",247,-100,385,493,0,1.6,0.62,2025
"Biochemistry, Genetics and Molecular Biology","-",230,-100,448,556,0,1.9,0.88,2025
"Environmental Science","-",202,-100,310,349,0,1.5,0.91,2025
"Materials Science","-",195,-100,329,333,0,1.7,0.69,2025
"Mathematics","-",188,-100,154,250,0,0.8,0.81,2025
"Earth and Planetary Sciences","-",174,-100,299,281,0,1.7,1.01,2025
"Chemical Engineering","-",140,-100,240,320,0,1.7,0.63,2025
"Arts and Humanities","-",138,-100,36,182,0,0.3,0.52,2025
"Energy","-",111,-100,164,191,0,1.5,0.69,2025
"Business, Management and Accounting","-",110,-100,89,190,0,0.8,0.48,2025
"Immunology and Microbiology","-",109,-100,147,303,0,1.3,0.9,2025
"Pharmacology, Toxicology and Pharmaceutics","-",88,-100,128,250,0,1.5,0.76,2025
"Nursing","-",85,-100,62,179,0,0.7,0.46,2025
"Dentistry","-",77,-100,121,132,0,1.6,1.1,2025
"Economics, Econometrics and Finance","-",71,-100,116,124,0,1.6,0.88,2025
"Veterinary","-",69,-100,49,180,0,0.7,0.76,2025
"Decision Sciences","-",60,-100,42,98,0,0.7,0.41,2025
"Neuroscience","-",60,-100,151,134,0,2.5,1.25,2025
"Multidisciplinary","-",52,-100,48,153,0,0.9,0.42,2025
"Psychology","-",41,-100,20,68,0,0.5,0.46,2025
"Health Professions","-",33,-100,64,57,0,1.9,1.68,2025
"Medicine","-",477,0,1481,777,0,3.1,0.78,2024
"Engineering","-",334,0,1563,532,0,4.7,0.86,2024
"Social Sciences","-",323,0,677,419,0,2.1,0.54,2024
"Computer Science","-",315,0,1132,425,0,3.6,0.91,2024
"Agricultural and Biological Sciences","-",300,0,1437,497,0,4.8,0.87,2024
"Physics and Astronomy","-",253,0,1184,304,0,4.7,0.81,2024
"Chemistry","-",210,0,976,414,0,4.6,0.63,2024
"Environmental Science","-",197,0,1006,349,0,5.1,0.87,2024
"Biochemistry, Genetics and Molecular Biology","-",191,0,840,467,0,4.4,0.69,2024
"Mathematics","-",172,0,515,227,0,3,0.73,2024
"Materials Science","-",161,0,829,251,0,5.1,0.72,2024
"Earth and Planetary Sciences","-",153,0,603,242,0,3.9,0.92,2024
"Arts and Humanities","-",134,0,86,146,0,0.6,0.4,2024
"Chemical Engineering","-",120,0,594,277,0,5,0.6,2024
"Immunology and Microbiology","-",107,0,430,190,0,4,0.82,2024
"Nursing","-",95,0,198,212,0,2.1,0.5,2024
"Multidisciplinary","-",87,0,329,93,0,3.8,1.58,2024
"Energy","-",84,0,478,157,0,5.7,0.82,2024
"Business, Management and Accounting","-",81,0,284,111,0,3.5,0.66,2024
"Pharmacology, Toxicology and Pharmaceutics","-",77,0,329,176,0,4.3,0.81,2024
"Decision Sciences","-",75,0,233,124,0,3.1,0.9,2024
"Veterinary","-",65,0,169,178,0,2.6,0.94,2024
"Dentistry","-",62,0,221,124,0,3.6,0.92,2024
"Economics, Econometrics and Finance","-",48,0,227,62,0,4.7,0.76,2024
"Neuroscience","-",37,0,166,61,0,4.5,0.74,2024
"Health Professions","-",29,0,80,60,0,2.8,0.63,2024
"Psychology","-",27,0,32,58,0,1.2,0.31,2024
"Medicine","-",522,0,3275,790,0,6.3,0.83,2023
