Year;FWCI;Scholarly Output;Citations per Publication
1996;0.67;232;15.1
1997;0.68;237;18.9
1998;0.62;284;16.5
1999;0.78;274;22.1
2000;0.75;290;22.6
2001;0.71;320;21.5
2002;0.79;322;24.5
2003;0.60;354;19.3
2004;0.68;453;23.7
2005;0.81;455;25.8
2006;0.72;565;25.6
2007;0.76;716;22.7
2008;0.81;826;29.7
2009;0.73;973;20.2
2010;0.76;1047;17.9
2011;0.75;1250;18.4
2012;0.74;1382;18.7
2013;0.72;1538;17.6
2014;0.78;1554;18.5
2015;0.85;1660;19.7
2016;0.82;1809;17.8
2017;0.86;1928;19.7
2018;0.83;2117;17.7
2019;0.79;2150;15.9
2020;0.84;2531;15.3
2021;0.97;2790;14.0
2022;0.78;2505;8.9
2023;0.74;2464;6.1
2024;0.75;2442;3.5
2025;0.70;2591;1.2
2026;0.80;489;0.1
